2026-08-07T07:45:06Z	load=26.43 24.05 22.73 33/6815 3589610	acct_cpu=152.6	lsphp_n=2	warm=74.3,00:03	auto=	qwork=54.1,00:06,1	wd=	sched=9.5,00:06	lve_fail=
2026-08-07T07:54:36Z	load=25.08 26.77 24.98 19/6690 58702	acct_cpu=116.3	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:54:52Z	load=23.99 26.43 24.90 28/6769 70820	acct_cpu=134.5	lsphp_n=4	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:55:07Z	load=23.95 26.30 24.88 30/6775 87706	acct_cpu=217.9	lsphp_n=4	warm=75.5,00:04	auto=	qwork=	wd=	sched=8.1,00:07	lve_fail=
2026-08-07T07:55:22Z	load=24.63 26.33 24.91 24/6742 98955	acct_cpu=195.8	lsphp_n=3	warm=	auto=	qwork=	wd=	sched=2.6,00:22	lve_fail=
2026-08-07T07:55:38Z	load=24.61 26.24 24.90 26/6666 111616	acct_cpu=86.3	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=1.5,00:37	lve_fail=
2026-08-07T07:55:53Z	load=23.88 25.98 24.84 26/6631 123517	acct_cpu=35.2	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:56:08Z	load=23.93 25.87 24.82 34/6696 153825	acct_cpu=175.5	lsphp_n=4	warm=66.0,00:06	auto=	qwork=	wd=	sched=6.7,00:08	lve_fail=
2026-08-07T07:56:24Z	load=22.82 25.54 24.73 23/6623 184646	acct_cpu=177.7	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:56:39Z	load=23.77 25.61 24.77 41/6690 197754	acct_cpu=358.6	lsphp_n=9	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:56:55Z	load=27.78 26.42 25.05 36/6678 210293	acct_cpu=555.9	lsphp_n=13	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:57:10Z	load=26.87 26.29 25.02 38/6907 228195	acct_cpu=591.0	lsphp_n=14	warm=48.8,00:06	auto=	qwork=	wd=	sched=5.6,00:10	lve_fail=
2026-08-07T07:57:26Z	load=26.06 26.13 24.99 42/6669 240234	acct_cpu=445.2	lsphp_n=9	warm=	auto=	qwork=	wd=	sched=2.2,00:25	lve_fail=
2026-08-07T07:57:41Z	load=27.00 26.32 25.07 37/6701 252025	acct_cpu=368.7	lsphp_n=9	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:57:56Z	load=25.83 26.11 25.02 33/6686 264544	acct_cpu=221.0	lsphp_n=6	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:58:11Z	load=26.32 26.19 25.07 37/6669 299230	acct_cpu=295.9	lsphp_n=5	warm=67.0,00:09	auto=	qwork=	wd=	sched=5.0,00:11	lve_fail=
2026-08-07T07:58:27Z	load=26.40 26.22 25.10 33/6682 323927	acct_cpu=241.7	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:58:42Z	load=26.38 26.23 25.12 23/6709 335443	acct_cpu=256.6	lsphp_n=6	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:58:57Z	load=26.09 26.18 25.12 67/6741 347300	acct_cpu=504.3	lsphp_n=12	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:59:13Z	load=26.13 26.19 25.14 42/6734 363681	acct_cpu=409.3	lsphp_n=8	warm=67.3,00:09	auto=	qwork=	wd=	sched=4.8,00:12	lve_fail=
2026-08-07T07:59:28Z	load=26.29 26.21 25.16 24/6740 375531	acct_cpu=193.2	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:59:43Z	load=25.08 25.96 25.10 22/6722 386749	acct_cpu=325.0	lsphp_n=7	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T07:59:59Z	load=23.80 25.63 25.00 44/6793 399740	acct_cpu=311.7	lsphp_n=7	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:00:14Z	load=25.88 26.01 25.14 68/6826 452224	acct_cpu=555.9	lsphp_n=13	warm=59.4,00:11	auto=	qwork=39.1,00:14,1	wd=	sched=3.8,00:14	lve_fail=
2026-08-07T08:00:30Z	load=25.95 26.04 25.16 33/6825 479987	acct_cpu=262.8	lsphp_n=5	warm=	auto=	qwork=40.6,00:29,1	wd=	sched=1.9,00:29	lve_fail=
2026-08-07T08:00:45Z	load=25.33 25.89 25.13 33/6783 491375	acct_cpu=262.4	lsphp_n=4	warm=	auto=	qwork=42,00:45,1	wd=	sched=1.2,00:45	lve_fail=
2026-08-07T08:01:00Z	load=24.35 25.65 25.06 27/6780 502759	acct_cpu=239.9	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=0.9,01:00	lve_fail=
2026-08-07T08:01:15Z	load=24.85 25.71 25.09 32/6818 519750	acct_cpu=290.2	lsphp_n=5	warm=	auto=	qwork=37.8,00:15,1	wd=	sched=0.7,01:15	lve_fail=
2026-08-07T08:01:31Z	load=24.48 25.58 25.06 22/6805 532296	acct_cpu=124.3	lsphp_n=3	warm=	auto=	qwork=43.3,00:30,1	wd=	sched=	lve_fail=
2026-08-07T08:01:46Z	load=25.09 25.68 25.10 25/6958 545234	acct_cpu=231.2	lsphp_n=4	warm=	auto=	qwork=44.8,00:46,1	wd=	sched=	lve_fail=
2026-08-07T08:02:01Z	load=24.35 25.49 25.05 35/6855 559334	acct_cpu=273.5	lsphp_n=5	warm=	auto=	qwork=56,00:01,1	wd=	sched=53.0,00:01	lve_fail=
2026-08-07T08:02:17Z	load=24.18 25.40 25.03 24/6814 603713	acct_cpu=165.4	lsphp_n=4	warm=	auto=	qwork=44.9,00:16,1	wd=	sched=	lve_fail=
2026-08-07T08:02:32Z	load=23.31 25.15 24.95 25/6821 619152	acct_cpu=141.9	lsphp_n=2	warm=	auto=	qwork=44.1,00:32,1	wd=	sched=	lve_fail=
2026-08-07T08:02:47Z	load=21.80 24.73 24.82 18/6755 630535	acct_cpu=44.8	lsphp_n=1	warm=	auto=	qwork=44.8,00:47,1	wd=	sched=	lve_fail=
2026-08-07T08:03:02Z	load=20.43 24.29 24.67 23/6839 644459	acct_cpu=69.0	lsphp_n=1	warm=0.0,00:00	auto=	qwork=46,00:02,1	wd=	sched=24.0,00:02	lve_fail=
2026-08-07T08:03:18Z	load=21.10 24.26 24.65 27/6798 657372	acct_cpu=243.7	lsphp_n=5	warm=	auto=	qwork=37.3,00:17,1	wd=	sched=	lve_fail=
2026-08-07T08:03:33Z	load=21.08 24.11 24.60 35/6802 668776	acct_cpu=179.5	lsphp_n=3	warm=	auto=	qwork=37.4,00:33,1	wd=	sched=	lve_fail=
2026-08-07T08:03:48Z	load=20.50 23.83 24.50 21/6791 681224	acct_cpu=111.7	lsphp_n=3	warm=	auto=	qwork=40.2,00:48,1	wd=	sched=	lve_fail=
2026-08-07T08:04:04Z	load=20.95 23.77 24.47 26/6828 703105	acct_cpu=319.4	lsphp_n=5	warm=125,00:01	auto=	qwork=66.5,00:02,1	wd=	sched=17.6,00:03	lve_fail=
2026-08-07T08:04:19Z	load=21.14 23.67 24.42 26/6793 741781	acct_cpu=152.2	lsphp_n=3	warm=	auto=	qwork=36.8,00:18,1	wd=	sched=	lve_fail=
2026-08-07T08:04:34Z	load=20.55 23.41 24.32 21/6772 752757	acct_cpu=0.0	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:04:49Z	load=19.89 23.12 24.22 27/6759 763958	acct_cpu=34.1	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:05:05Z	load=19.16 22.81 24.09 26/6782 782368	acct_cpu=217.0	lsphp_n=3	warm=126,00:01	auto=	qwork=	wd=	sched=12.7,00:04	lve_fail=
2026-08-07T08:05:20Z	load=18.62 22.51 23.97 24/6791 793965	acct_cpu=108.1	lsphp_n=3	warm=	auto=	qwork=	wd=	sched=2.6,00:20	lve_fail=
2026-08-07T08:05:35Z	load=18.98 22.40 23.92 25/6796 806049	acct_cpu=52.2	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:05:51Z	load=18.23 22.05 23.78 21/6781 818709	acct_cpu=0.0	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:06:06Z	load=18.11 21.84 23.68 27/6808 845428	acct_cpu=67.6	lsphp_n=1	warm=59.8,00:05	auto=	qwork=	wd=	sched=8.0,00:06	lve_fail=
2026-08-07T08:06:21Z	load=18.30 21.70 23.60 17/6874 878001	acct_cpu=0.0	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:06:37Z	load=17.95 21.45 23.49 15/6833 890614	acct_cpu=0.0	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:06:52Z	load=18.02 21.29 23.40 21/6847 901942	acct_cpu=43.5	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:07:07Z	load=18.51 21.24 23.35 23/6886 918380	acct_cpu=364.8	lsphp_n=8	warm=62.2,00:05	auto=	qwork=	wd=	sched=9.1,00:06	lve_fail=
2026-08-07T08:07:23Z	load=18.97 21.21 23.31 18/6854 930161	acct_cpu=220.4	lsphp_n=5	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:07:38Z	load=17.52 20.77 23.13 20/6843 941419	acct_cpu=277.0	lsphp_n=6	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:07:53Z	load=17.35 20.57 23.03 35/6847 953168	acct_cpu=390.0	lsphp_n=11	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:08:09Z	load=19.60 20.89 23.09 30/6883 982645	acct_cpu=385.0	lsphp_n=8	warm=70.6,00:06	auto=	qwork=	wd=	sched=6.2,00:08	lve_fail=
2026-08-07T08:08:24Z	load=20.10 20.94 23.07 24/6881 1012781	acct_cpu=128.1	lsphp_n=4	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:08:39Z	load=20.20 20.93 23.04 31/6837 1025599	acct_cpu=35.1	lsphp_n=4	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:08:55Z	load=19.81 20.82 22.96 22/6808 1036819	acct_cpu=83.6	lsphp_n=3	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:09:10Z	load=20.88 21.01 22.99 28/6855 1053538	acct_cpu=318.5	lsphp_n=6	warm=53.8,00:08	auto=	qwork=	wd=	sched=5.7,00:09	lve_fail=
2026-08-07T08:09:25Z	load=19.52 20.71 22.86 20/6821 1064081	acct_cpu=203.8	lsphp_n=4	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:09:41Z	load=18.28 20.38 22.72 17/6803 1075050	acct_cpu=49.5	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:09:56Z	load=18.28 20.26 22.64 18/6795 1085566	acct_cpu=116.1	lsphp_n=3	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:10:11Z	load=20.11 20.56 22.70 19/6871 1120867	acct_cpu=178.1	lsphp_n=3	warm=74.1,00:08	auto=	qwork=	wd=	sched=4.8,00:11	lve_fail=
2026-08-07T08:10:26Z	load=20.10 20.54 22.66 18/6855 1145770	acct_cpu=152.0	lsphp_n=6	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:10:42Z	load=20.42 20.59 22.64 26/6849 1159393	acct_cpu=605.9	lsphp_n=17	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:10:57Z	load=20.20 20.53 22.59 24/6846 1171641	acct_cpu=75.4	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:11:12Z	load=21.38 20.78 22.64 27/6896 1188721	acct_cpu=176.8	lsphp_n=4	warm=	auto=	qwork=37.8,00:12,1	wd=	sched=4.1,00:12	lve_fail=
2026-08-07T08:11:28Z	load=20.08 20.53 22.53 21/6880 1200354	acct_cpu=150.8	lsphp_n=3	warm=	auto=	qwork=40.3,00:27,1	wd=	sched=	lve_fail=
2026-08-07T08:11:43Z	load=19.90 20.47 22.47 7/6844 1212482	acct_cpu=95.6	lsphp_n=2	warm=	auto=	qwork=39.5,00:43,1	wd=	sched=	lve_fail=
2026-08-07T08:11:58Z	load=18.85 20.22 22.36 21/6816 1223743	acct_cpu=40.8	lsphp_n=1	warm=	auto=	qwork=40.8,00:58,1	wd=	sched=	lve_fail=
2026-08-07T08:12:14Z	load=19.36 20.26 22.34 26/6905 1266253	acct_cpu=58.1	lsphp_n=2	warm=	auto=	qwork=40.4,00:13,1	wd=	sched=	lve_fail=
2026-08-07T08:12:30Z	load=17.90 19.88 22.18 23/6874 1284527	acct_cpu=43.0	lsphp_n=1	warm=	auto=	qwork=43,00:28,1	wd=	sched=	lve_fail=
2026-08-07T08:12:45Z	load=18.28 19.87 22.14 22/6865 1297752	acct_cpu=155.9	lsphp_n=4	warm=	auto=	qwork=43.2,00:44,1	wd=	sched=	lve_fail=
2026-08-07T08:13:00Z	load=19.62 20.09 22.18 20/6963 1311584	acct_cpu=75.1	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:13:15Z	load=19.94 20.15 22.16 28/6944 1329131	acct_cpu=84.9	lsphp_n=2	warm=	auto=	qwork=38.7,00:14,1	wd=	sched=	lve_fail=
2026-08-07T08:13:31Z	load=19.65 20.08 22.11 21/6945 1341291	acct_cpu=102.7	lsphp_n=3	warm=	auto=	qwork=41.5,00:29,1	wd=	sched=	lve_fail=
2026-08-07T08:13:46Z	load=19.52 20.02 22.06 32/6947 1354559	acct_cpu=201.3	lsphp_n=4	warm=	auto=	qwork=39.6,00:45,1	wd=	sched=	lve_fail=
2026-08-07T08:14:01Z	load=19.64 20.04 22.03 52/7049 1367406	acct_cpu=61.4	lsphp_n=2	warm=	auto=	qwork=0,00:00,1	wd=	sched=0.0,00:00	lve_fail=
2026-08-07T08:14:17Z	load=19.37 19.95 21.97 49/6976 1414160	acct_cpu=253.2	lsphp_n=3	warm=	auto=	qwork=41.4,00:15,1	wd=	sched=3.4,00:15	lve_fail=
2026-08-07T08:14:32Z	load=19.86 20.04 21.96 31/6966 1430006	acct_cpu=188.7	lsphp_n=2	warm=	auto=	qwork=41.2,00:31,1	wd=	sched=1.6,00:31	lve_fail=
2026-08-07T08:14:47Z	load=18.08 19.64 21.80 23/6902 1441725	acct_cpu=152.5	lsphp_n=6	warm=	auto=	qwork=42.6,00:46,1	wd=	sched=	lve_fail=
2026-08-07T08:15:02Z	load=18.38 19.61 21.76 33/6979 1461161	acct_cpu=142.7	lsphp_n=2	warm=	auto=	qwork=51.6,00:03,1	wd=	sched=17.6,00:03	lve_fail=
2026-08-07T08:15:18Z	load=18.38 19.55 21.70 35/6952 1491905	acct_cpu=170.0	lsphp_n=3	warm=	auto=	qwork=30.4,00:18,1	wd=	sched=3.0,00:18	lve_fail=
2026-08-07T08:15:34Z	load=18.44 19.51 21.65 23/6956 1503312	acct_cpu=133.4	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=1.6,00:34	lve_fail=
2026-08-07T08:15:49Z	load=17.22 19.19 21.51 18/6843 1513952	acct_cpu=14.1	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=1.1,00:49	lve_fail=
2026-08-07T08:16:05Z	load=16.27 18.88 21.38 26/6916 1536559	acct_cpu=76.5	lsphp_n=1	warm=	auto=	qwork=20.3,00:03,1	wd=	sched=0.8,01:04	lve_fail=
2026-08-07T08:16:20Z	load=16.09 18.71 21.28 14/6907 1573550	acct_cpu=61.7	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=0.7,01:20	lve_fail=
2026-08-07T08:16:35Z	load=15.40 18.43 21.14 19/6889 1584373	acct_cpu=166.3	lsphp_n=3	warm=	auto=	qwork=	wd=	sched=0.6,01:35	lve_fail=
2026-08-07T08:16:50Z	load=16.07 18.44 21.10 22/6863 1596072	acct_cpu=143.2	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=0.5,01:50	lve_fail=
2026-08-07T08:17:06Z	load=16.26 18.37 21.04 17/6888 1612545	acct_cpu=0.0	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:17:21Z	load=16.92 18.40 21.01 21/6875 1625167	acct_cpu=0.0	lsphp_n=1	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:17:36Z	load=16.89 18.32 20.94 20/6890 1637610	acct_cpu=10.7	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:17:52Z	load=17.23 18.33 20.90 18/6910 1649930	acct_cpu=48.3	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:18:07Z	load=18.97 18.66 20.96 25/6935 1677807	acct_cpu=73.3	lsphp_n=1	warm=64.8,00:05	auto=	qwork=	wd=	sched=8.5,00:06	lve_fail=
2026-08-07T08:18:22Z	load=17.78 18.41 20.85 12/6904 1710311	acct_cpu=32.4	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:18:38Z	load=17.24 18.25 20.75 19/6917 1721865	acct_cpu=21.0	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:18:53Z	load=17.46 18.25 20.71 20/6892 1732786	acct_cpu=47.1	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
2026-08-07T08:19:08Z	load=17.33 18.19 20.65 25/6947 1748674	acct_cpu=176.0	lsphp_n=2	warm=68.8,00:06	auto=	qwork=39.7,00:07,1	wd=	sched=7.5,00:07	lve_fail=
2026-08-07T08:19:24Z	load=16.66 18.00 20.55 21/6939 1761233	acct_cpu=136.2	lsphp_n=2	warm=	auto=	qwork=38.8,00:22,1	wd=	sched=	lve_fail=
2026-08-07T08:19:39Z	load=16.60 17.93 20.49 21/6961 1774428	acct_cpu=47.6	lsphp_n=2	warm=	auto=	qwork=38.6,00:38,1	wd=	sched=	lve_fail=
2026-08-07T08:19:54Z	load=16.69 17.89 20.43 13/6902 1785536	acct_cpu=43.5	lsphp_n=2	warm=	auto=	qwork=	wd=	sched=	lve_fail=
